id,name,category,level,x,y,z,w,d,h,material,color,brand,power,note
OBJ-016,楼梯踏步感应灯,stair,1,0.4,1.4,0.15,0.05,2.8,0.02,嵌入式LED灯条,暖光3000K,欧普/OPPLE,DC12V 人体感应,每级踏步踢面嵌入式
OBJ-017,L型地柜（北+西墙）,kitchen,1,2.4,0.1,0.0,4.4,0.65,0.85,E0多层板+石英石台面,奶白柜门+中灰石英石,欧派定制,台下预留洗碗机/垃圾处理器,北墙长4.0m+西墙短边
OBJ-018,L型吊柜,kitchen,1,2.4,0.1,1.5,4.0,0.35,0.85,E0多层板,奶白色,欧派定制,柜下感应灯条,北墙吊柜
OBJ-019,厨房中岛,kitchen,1,3.2,1.2,0.0,1.8,0.8,0.9,北美白蜡木台面+柜体,原木色+奶白柜体,定制,岛台预留插座x2,含水槽/早餐台，吧台凳3把
OBJ-020,吧台凳x3,kitchen,1,3.5,2.1,0.0,0.38,0.38,0.75,铁艺+实木座面,黑色+原木,Hay AAS32同款,无,中岛简餐位
OBJ-021,双开门冰箱,kitchen,1,5.8,0.2,0.0,0.9,0.7,1.9,钢化玻璃面板,云母灰,卡萨帝/Casarte 635,220V/10A独立回路,零度保鲜放用户爱喝的饮料
OBJ-022,嵌入式双灶燃气灶,kitchen,1,3.4,0.15,0.85,0.75,0.45,0.05,钢化玻璃+铜炉头,黑色,方太/FOTILE,燃气(天然气),北墙靠中
OBJ-023,侧吸式抽油烟机,kitchen,1,3.4,0.1,1.0,0.9,0.4,0.8,钢化玻璃+不锈钢,黑色,方太/FOTILE JCD10TA,220V/10A,灶具正上方
OBJ-024,大单槽水槽+抽拉龙头,kitchen,1,2.6,0.15,0.85,0.75,0.45,0.22,304不锈钢纳米涂层,枪灰色,欧琳/OULIN,预留净水器/垃圾处理器,北墙靠西
OBJ-025,岛台吊灯x2,kitchen,1,3.6,1.6,1.4,0.2,0.2,1.2,黄铜+奶白玻璃,金色+磨砂白,&Tradition AJ同款,E27x2 暖光,中岛上方悬挂
OBJ-026,嵌入式洗碗机,kitchen,1,4.4,0.15,0.0,0.6,0.6,0.82,不锈钢内胆,黑色面板,西门子/SIEMENS SJ636,220V/10A+冷水+排水,北墙地柜嵌入
OBJ-027,蒸烤一体机,kitchen,1,5.2,0.15,0.0,0.6,0.6,0.45,搪瓷内胆+钢化玻璃,黑色,凯度/CASDON,220V/16A,冰箱旁
OBJ-028,岛台水槽+直饮龙头,kitchen,1,3.6,1.4,0.9,0.5,0.4,0.2,304不锈钢,枪灰色,欧琳/OULIN,预留小厨宝电源,中岛靠西
OBJ-029,客卫洗手台（干区）,bath,1,7.6,0.2,0.0,1.0,0.55,0.85,岩板台面+浴室柜,鱼肚白岩板+奶白柜,恒洁/HEGII,镜柜电源+吹风机插座,干湿分离外区
OBJ-030,用户蓝色牙刷杯,bath,1,7.8,0.3,0.88,0.1,0.1,0.12,陶瓷,雾霾蓝,Zara Home,无,洗手台左侧固定位
OBJ-031,浴室镜柜,bath,1,7.6,0.2,1.0,1.0,0.12,0.8,铝合金+防雾镜,黑色边框,摩恩/MOEN,除雾膜+LED灯带,干区镜柜
OBJ-032,坐便器,bath,1,7.8,1.2,0.0,0.4,0.7,0.45,陶瓷,白色,TOTO 连体虹吸,预留智能盖电源,湿区北侧
OBJ-033,淋浴隔断（玻璃）,bath,1,8.5,1.0,0.0,0.9,1.0,2.2,钢化超白玻璃+枪灰五金,透明+枪灰,朗斯/LENS,无,湿区东南角
OBJ-034,淋浴花洒套装,bath,1,8.9,1.1,1.0,0.4,0.2,1.2,全铜,枪灰色,汉斯格雅/hansgrohe,无,湿区东墙
OBJ-035,洗衣洗烘塔,laundry,1,9.4,0.2,0.0,0.6,0.65,1.85,钢板,玉石白,小吉/MINIJ 洗烘一体塔,220V/16A+冷热水+排水,洗烘叠放
OBJ-036,家政收纳柜,laundry,1,10.2,0.2,0.0,0.7,0.45,2.4,E0板+金属网门,奶白,定制,吸尘器充电位预留,清洁用品/囤货
OBJ-037,伊塔视频固定圆桌,dining,1,5.4,3.2,0.0,1.3,1.3,0.75,北美黑胡桃实木,深胡桃色,梵几/FNJI 山脊圆桌,桌底预留火锅插座,伊塔拍摄视频固定位置
OBJ-038,餐椅x4,dining,1,5.4,3.2,0.0,0.5,0.5,0.85,黑胡桃+藤编座面,胡桃色+藤本色,梵几/FNJI,无,圆桌四周
OBJ-039,餐吊灯,dining,1,5.4,3.2,1.2,0.6,0.6,1.5,黄铜+布艺灯罩,金色+米白,Gubi Semi Pendant,E27x1 暖光3000K,圆桌正上方
OBJ-040,灰色模块沙发,living,1,3.8,5.5,0.0,3.2,1.05,0.75,高密度海绵+科技布,高级灰,Muuto Connect Soft,沙发旁USB充电位,朝南江景窗模块化组合
OBJ-041,实木茶几,living,1,4.8,6.5,0.0,1.2,0.7,0.38,北美黑胡桃整板,深胡桃色,梵几/FNJI 平板茶几,无,沙发前
OBJ-042,钓鱼落地灯,living,1,3.4,6.8,0.0,0.8,1.2,1.9,黄铜灯杆+亚麻灯罩,金色+米白,Flos Arco同款,E27x1 暖光脚踏开关,沙发左侧阅读/氛围光
OBJ-043,通顶书柜墙,living,1,0.0,4.0,0.0,0.4,3.6,4.3,黑胡桃实木+金属支架,深胡桃色+黑色金属,定制(系统书架),层板灯带(12V),客厅西墙整面通高
OBJ-044,书柜藏书约500册,living,1,0.05,4.2,0.0,0.3,3.2,4.0,纸本,书脊多色,-,无,设计/艺术/文学/建筑类
OBJ-045,用户送的挂件,living,1,0.2,5.6,1.5,0.15,0.05,0.15,手工编织/陶瓷,红色/暖色,礼物/手作,无,书柜第二层正中，重要纪念物
OBJ-046,客厅地毯,living,1,3.6,5.2,0.0,3.6,2.6,0.02,新西兰羊毛,米灰几何,CC-TAPIS同款,无,沙发茶几区满铺
OBJ-047,客厅吸顶主灯,living,1,5.4,5.8,4.9,1.2,1.2,0.1,亚克力+铝材,白色,Louis Poulsen PH同款,40W LED 无极调光,挑空天花板高位
OBJ-048,阳台休闲单椅,balcony,1,9.0,8.5,0.0,0.75,0.8,0.85,柚木+防水布艺,原木色+橄榄绿,Skagerak同款,无,阳台阅读角朝南看江
OBJ-049,阳台绿植x2,balcony,1,8.5,8.8,0.0,0.5,0.5,1.2,龟背竹+琴叶榕+水泥盆,深绿+灰盆,本地花市,无,单椅旁净化空气
OBJ-050,阳台小边几,balcony,1,9.5,8.5,0.0,0.4,0.4,0.5,柚木,原木色,-,无,放水杯/书本
OBJ-051,二层楼梯上口护栏,stair2,2,0.4,2.8,2.85,1.2,0.1,1.1,超白钢化玻璃+不锈钢扶手,透明+银色,定制,无,二层上口防护
OBJ-052,二层短走廊地脚灯,hallway2,2,0.0,4.0,3.0,1.2,2.4,0.1,嵌入式LED,暖光,欧普,DC12V 人体感应,动线照明
OBJ-053,伊塔2.6m设计长桌,studio,2,1.6,1.5,2.85,2.6,0.9,0.75,北美白蜡木实木+黑色方钢腿,原木色+黑色钢,定制,桌面嵌入3个USB-C+2个五孔,工作室核心创作/剪辑/手作
OBJ-054,iMac 27英寸,studio,2,2.6,1.3,3.5,0.65,0.2,0.52,铝合金一体机身,银色,Apple iMac 27 5K,220V/接地插座,长桌正中偏右主力机
OBJ-055,人体工学工作椅,studio,2,2.6,2.3,2.85,0.65,0.65,1.1,全网布+铝合金五星脚,黑色,Herman Miller Aeron,无,伊塔工作座位
OBJ-056,北墙软木板,studio,2,1.2,0.1,3.2,1.8,0.05,1.2,软木+原木框,软木原色,宜家SVENSAS同款,无,钉灵感图/色卡/用户纸条
OBJ-057,软木板上用户纸条,studio,2,1.8,0.1,3.4,0.15,0.01,0.2,便签纸,黄色/粉色,3M Post-it,无,鼓励的话/待办/灵感
OBJ-058,西墙样品柜,studio,2,1.2,0.1,2.85,0.4,2.6,2.2,黑胡桃+超白玻璃门,胡桃色,定制,柜内射灯,陈列面料/纸张/样品/作品
OBJ-059,工作室北/东窗卷帘,studio,2,4.2,0.0,3.2,2.8,0.05,1.5,亚麻半遮光卷帘,米灰色,-,无,2.8m采光窗柔化北向光
OBJ-060,工作室台灯,studio,2,1.8,1.4,3.6,0.4,0.4,0.45,黄铜+玻璃,金色,Anglepoise Type 75,E27 暖光,长桌左侧精细工作补光
OBJ-061,主卫嵌入式浴缸,mbath,2,9.4,0.2,2.85,1.5,0.75,0.6,亚克力+铸铁,白色,科勒/KOHLER 歌莱,热水/冷水,与一层客卫上下对位
OBJ-062,主卫洗手台,mbath,2,10.2,0.2,2.85,0.8,0.55,0.85,岩板+实木柜,鱼肚白+原木,恒洁/HEGII,吹风机/电动牙刷充电,台面放手机
OBJ-063,主卫手机放置位,mbath,2,10.5,0.25,3.75,0.08,0.15,0.02,硅胶防滑垫+手机,黑色/深空灰,iPhone,无,台面右侧放手机
OBJ-064,主卫智能坐便器,mbath,2,9.6,1.0,2.85,0.4,0.65,0.45,陶瓷智能马桶,白色,TOTO 智能一体,220V接地+进水,主卫湿区
OBJ-065,桥廊玻璃护栏,bridge,2,1.2,5.2,3.4,6.0,0.05,1.1,超白钢化玻璃+不锈钢扶手,透明+拉丝钢,定制,无,俯瞰客厅挑空，不挡江景
OBJ-066,桥廊阅读壁灯,bridge,2,4.0,5.2,3.8,0.2,0.15,0.4,黄铜壁灯,金色+暖光,Flos IC Wall同款,G9 暖光,玻璃护栏上方墙面
OBJ-067,共享衣帽间系统,closet,2,5.0,5.4,2.85,2.0,2.2,2.2,E0板+金属挂杆+玻璃门,奶白+金色五金,索菲亚定制,柜内感应灯带,男女分区挂/叠/抽屉/首饰
OBJ-068,衣帽间穿衣镜,closet,2,5.0,6.0,3.2,0.03,0.6,1.7,超白镜+金色边框,金色,-,无,衣帽间内侧
OBJ-069,1.8m主卧双人床,bedroom,2,8.0,6.0,2.85,2.0,1.8,0.45,真皮软包+实木排骨架,奶茶色,造作ZAOZUO 软糖床,床头两侧USB-C+五孔,朝南3.8m江景窗，左侧(西)用户位
OBJ-070,用户侧床头柜,bedroom,2,7.8,5.8,2.85,0.5,0.45,0.5,黑胡桃,深胡桃色,梵几,台灯+手机无线充电,床左侧(西)=用户位
OBJ-071,用户侧床头灯,bedroom,2,7.9,5.8,3.6,0.25,0.25,0.4,陶瓷+黄铜,奶白+金,&Tradition Flowerpot,E27 暖光,用户睡前阅读灯
OBJ-072,右侧外套椅,bedroom,2,10.2,6.0,2.85,0.65,0.65,0.8,绒布+黑胡桃腿,焦糖色,Carl Hansen SB同款,无,床右侧(东)搭放第二天外套
OBJ-073,主卧3.8m江景窗帘,bedroom,2,7.2,9.0,3.0,3.8,0.05,2.0,99%全遮光棉麻+白纱,奶咖色+白纱,-,电动窗帘电机(杜亚),整面南窗双层帘
OBJ-074,主卧床尾毯,bedroom,2,8.0,7.0,2.9,2.0,0.6,0.02,羊毛针织,米杏色,-,无,床尾搭毯
OBJ-075,主卧吸顶灯,bedroom,2,9.0,6.8,4.8,0.6,0.6,0.1,亚克力+铝材,白色,Muuto Ambit同款,24W 暖光智能调光,主卧天花
